fund_name,cnpj,classe,tipo,class_macro,line_key,included,included_in_cost,exclusion_reason,volume_emitido,issue_date,spread_cdi_plus_aa,spread_source,cdi_aa,taxa_total_aa,saldo_snapshot,saldo_inicio_periodo,saldo_medio_programado,custo_snapshot_sem_amortizacao,custo_programado_bruto,amortizacao_no_periodo,dias_corridos_base,dias_uteis_base,amortization_convention,warnings,remuneration,amortization_text,source
CLOUDWALK AKIRA II FIDC,44.124.617/0001-94,1ª série sênior - rerratificação 2025,Sênior,senior,44124617000194|1ª série sênior - rerratificação 2025,True,True,,1500000000.0,2025-02-28,0.0135,curadoria:remuneracao,0.1399364,0.1534364,20000835.6,60001906.9,16630295.91,3003609.44,2321575.6,60001906.9,365,247,current_balance,,"Taxa DI + 1,35% a.a.","Percentual do saldo de Cotas Sêniores a serem amortizadas: 27/02/2025 16,00%; 27/03/2025 0,00%; 27/04/2025 0,00%; 27/05/2025 0,00%; 27/06/2025 0,00%; 27/07/2025 0,00%; 27/08/2025 19,05%; 27/09/2025 23,53%; 27/10/2025 30,77%; 27/11/2025 44,44%; 27/12/2025 80,00%; 27/01/2026 16,67%; 27/02/2026 20,00%; 27/03/2026 25,00%; 27/04/2026 33,33%; 27/05/2026 50,00%; 27/06/2026 100,00%",851797_assembleia_assembleia_851797_2025-02-28.pdf · p.4-5 · ID 851797
CLOUDWALK BIG PICTURE I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,54.218.673/0001-41,1ª série sênior,Sênior,senior,54218673000141|1ª série sênior,True,True,,877500000.0,2024-04-15,0.012,override:54218673000141|1ª série sênior,0.1399364,0.1519364,877500000.0,877500000.0,855061643.84,130491356.59,119599952.43,292500000.0,365,247,incremental,Cronograma documental lista datas sem percentuais; waterfall usa amortização linear entre as datas documentadas.,Benchmark em apêndice; spread não localizado nos PDFs baixados,Linear em datas documentadas: 19/11/2026; 19/12/2026; 19/01/2027; 19/02/2027; 19/03/2027; 19/04/2027,622660_regulamento_regulamento_622660_2024-03-14.pdf · p.115-116 · ID 622660; 644981_emissao_emissao_644981_2024-04-25.pdf · ID 644981
CLOUDWALK BIG PICTURE II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,54.218.941/0001-25,1ª série sênior,Sênior,senior,54218941000125|1ª série sênior,True,True,,291000000.0,2024-04-15,0.015,override:54218941000125|1ª série sênior,0.1399364,0.1549364,291000000.0,291000000.0,283558904.11,44127315.22,40395605.78,97000000.0,365,247,incremental,Cronograma documental lista datas sem percentuais; waterfall usa amortização linear entre as datas documentadas.,Benchmark em apêndice; spread não localizado nos PDFs baixados,Linear em datas documentadas: 19/11/2026; 19/12/2026; 19/01/2027; 19/02/2027; 19/03/2027; 19/04/2027,622662_regulamento_regulamento_622662_2024-03-14.pdf · p.116-117 · ID 622662; 644982_emissao_emissao_644982_2024-04-25.pdf · ID 644982
CLOUDWALK BIG PICTURE III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,54.219.179/0001-00,1ª série sênior,Sênior,senior,54219179000100|1ª série sênior,True,True,,142500000.0,2024-04-15,0.019,override:54219179000100|1ª série sênior,0.1399364,0.1589364,142500000.0,142500000.0,138856164.38,22165813.71,20258868.79,47500000.0,365,247,incremental,Cronograma documental lista datas sem percentuais; waterfall usa amortização linear entre as datas documentadas.,Benchmark em apêndice; spread não localizado nos PDFs baixados,Linear em datas documentadas: 19/11/2026; 19/12/2026; 19/01/2027; 19/02/2027; 19/03/2027; 19/04/2027,622664_regulamento_regulamento_622664_2024-03-14.pdf · p.117-118 · ID 622664; 644983_emissao_emissao_644983_2024-04-25.pdf · ID 644983
CLOUDWALK BIG PICTURE IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,54.248.022/0001-02,1ª série sênior,Sênior,senior,54248022000102|1ª série sênior,True,True,,240000000.0,2024-04-16,0.03,override:54248022000102|1ª série sênior,0.1399364,0.1699364,240000000.0,240000000.0,233863013.7,39911711.7,36318718.75,80000000.0,365,247,incremental,Cronograma documental lista datas sem percentuais; waterfall usa amortização linear entre as datas documentadas.,Benchmark em apêndice; spread não localizado nos PDFs baixados,Linear em datas documentadas: 19/11/2026; 19/12/2026; 19/01/2027; 19/02/2027; 19/03/2027; 19/04/2027,622677_regulamento_regulamento_622677_2024-03-14.pdf · p.119-120 · ID 622677; 644984_emissao_emissao_644984_2024-04-25.pdf · ID 644984
CLOUDWALK A.I. FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,57.609.282/0001-46,1ª série sênior,Sênior,senior,57609282000146|1ª série sênior,True,True,,1680000000.0,2024-10-14,0.0085,curadoria:remuneracao,0.1399364,0.1484364,1680000000.0,1680000000.0,1680000000.0,244082250.79,229198797.55,0.0,365,247,cumulative,,"Taxa DI + 0,85% a.a.","08/06/2027 16,6667%; 08/07/2027 33,3333%; 08/08/2027 50,0000%; 08/09/2027 66,6667%; 08/10/2027 83,3333%; 08/11/2027 100,0000%",757906_regulamento_regulamento_757906_2024-10-14.pdf · p.3-4 · ID 757906
CLOUDWALK A.I. FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,57.609.282/0001-46,1ª série mezanino,Mezanino,mezzanino,57609282000146|1ª série mezanino,True,True,,260000000.0,2024-10-14,0.0385,curadoria:remuneracao,0.1399364,0.1784364,260000000.0,260000000.0,260000000.0,45396948.15,42124885.68,0.0,365,247,linear_de_intervalo_documentado,Texto informa apenas intervalo de amortização; cálculo usa parcelas mensais lineares nesse intervalo.,"Taxa DI + 3,85% a.a.",Remuneração mensal; amortização programada de 08/06/2027 a 08/11/2027,757906_regulamento_regulamento_757906_2024-10-14.pdf · p.6-7 · ID 757906
CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,60.356.171/0001-80,1ª série sênior,Sênior,senior,60356171000180|1ª série sênior,True,True,,1650000000.0,2025-04-11,0.0095,curadoria:remuneracao,0.1399364,0.1494364,1650000000.0,1650000000.0,1650000000.0,241336452.14,226529692.37,0.0,365,247,incremental,,"Taxa DI + 0,95% a.a.","23/05/2029 11,67%; 23/06/2029 11,67%; 23/07/2029 11,67%; 23/08/2029 11,67%; 23/09/2029 11,67%; 23/10/2029 11,67%; 23/11/2029 5,00%; 23/12/2029 5,00%; 23/01/2030 5,00%; 23/02/2030 5,00%; 23/03/2030 5,00%; 23/04/2030 5,00%",883040_regulamento_regulamento_883040_2025-04-11.pdf · p.6-8 · ID 883040
CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,60.356.171/0001-80,2ª série sênior,Sênior,senior,60356171000180|2ª série sênior,True,True,,1070554462.0,2025-04-11,0.0095,curadoria:remuneracao,0.1399364,0.1494364,1070554462.0,1070554462.0,1070554462.0,156584130.72,146977195.73,0.0,365,247,incremental,,"Taxa DI + 0,95% a.a.","23/05/2029 11,67%; 23/06/2029 11,67%; 23/07/2029 11,67%; 23/08/2029 11,67%; 23/09/2029 11,67%; 23/10/2029 11,67%; 23/11/2029 5,00%; 23/12/2029 5,00%; 23/01/2030 5,00%; 23/02/2030 5,00%; 23/03/2030 5,00%; 23/04/2030 5,00%",883040_regulamento_regulamento_883040_2025-04-11.pdf · p.10-12 · ID 883040
CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,60.356.171/0001-80,1ª série mezanino A,Mezanino,mezzanino,60356171000180|1ª série mezanino A,True,True,,226712872.0,2025-04-11,0.017,curadoria:remuneracao,0.1399364,0.1569364,226712872.0,226712872.0,226712872.0,34821951.72,32587786.74,0.0,365,247,linear_de_intervalo_documentado,Texto informa apenas intervalo de amortização; cálculo usa parcelas mensais lineares nesse intervalo.,"Taxa DI + 1,70% a.a.",Remuneração mensal; amortização programada de 23/05/2029 a 23/04/2030,883040_regulamento_regulamento_883040_2025-04-11.pdf · p.15-17 · ID 883040
CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,60.356.171/0001-80,1ª série mezanino B,Mezanino,mezzanino,60356171000180|1ª série mezanino B,True,True,,194325319.59,2025-04-11,0.0499,curadoria:remuneracao,0.1399364,0.1898364,194325319.59,194325319.59,194325319.59,36093994.4,33343654.69,0.0,365,247,linear_de_intervalo_documentado,Texto informa apenas intervalo de amortização; cálculo usa parcelas mensais lineares nesse intervalo.,"Taxa DI + 4,99% a.a.",Remuneração mensal; amortização programada de 23/05/2029 a 23/04/2030,883040_regulamento_regulamento_883040_2025-04-11.pdf · p.19-21 · ID 883040
CLOUDWALK BELA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,62.393.679/0001-83,1ª série sênior,Sênior,senior,62393679000183|1ª série sênior,True,True,,3637113000.0,2025-09-16,0.0075,curadoria:remuneracao,0.1399364,0.1474364,3637113000.0,3637113000.0,3637113000.0,524870230.34,493062673.13,0.0,365,247,incremental,,"Taxa DI + 0,75% a.a.","15/10/2029 8,3333%; 15/11/2029 8,3333%; 15/12/2029 8,3333%; 15/01/2030 8,3333%; 15/02/2030 8,3333%; 15/03/2030 8,3333%; 15/04/2030 8,3333%; 15/05/2030 8,3333%; 15/06/2030 8,3333%; 15/07/2030 8,3333%; 15/08/2030 8,3333%; 15/09/2030 8,3333%",988402_regulamento_regulamento_988402_2025-09-09.pdf · p.8-10 · 1117954_regulamento_regulamento_1117954_2026-02-19.pdf · p.138-141
CLOUDWALK BELA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,62.393.679/0001-83,1ª série mezanino A,Mezanino,mezzanino,62393679000183|1ª série mezanino A,True,True,,303093000.0,2025-09-16,0.0135,curadoria:remuneracao,0.1399364,0.1534364,303093000.0,303093000.0,303093000.0,45516748.04,42655888.33,0.0,365,247,linear_de_intervalo_documentado,Texto informa apenas intervalo de amortização; cálculo usa parcelas mensais lineares nesse intervalo.,"Taxa DI + 1,35% a.a.",Remuneração mensal; amortização programada de 15/10/2029 a 15/09/2030,1117954_regulamento_regulamento_1117954_2026-02-19.pdf · p.149-152
CLOUDWALK BELA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,62.393.679/0001-83,1ª série mezanino B,Mezanino,mezzanino,62393679000183|1ª série mezanino B,True,True,,259794000.0,2025-09-16,0.042,curadoria:remuneracao,0.1399364,0.1819364,259794000.0,259794000.0,259794000.0,46249292.73,42857004.49,0.0,365,247,linear_de_intervalo_documentado,Texto informa apenas intervalo de amortização; cálculo usa parcelas mensais lineares nesse intervalo.,"Taxa DI + 4,20% a.a.",Remuneração mensal; amortização programada de 15/10/2029 a 15/09/2030,1117954_regulamento_regulamento_1117954_2026-02-19.pdf · p.160-163
CLOUDWALK BELA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,62.393.679/0001-83,2ª série sênior,Sênior,senior,62393679000183|2ª série sênior,True,True,,4762886000.0,2026-02-27,0.0075,curadoria:remuneracao,0.1399364,0.1474364,4762886000.0,0.0,4019092843.84,687330053.23,546357434.94,0.0,365,247,incremental,,"Taxa DI + 0,75% a.a.","26/03/2030 8,3333%; 26/04/2030 8,3333%; 26/05/2030 8,3333%; 26/06/2030 8,3333%; 26/07/2030 8,3333%; 26/08/2030 8,3333%; 26/09/2030 8,3333%; 26/10/2030 8,3333%; 26/11/2030 8,3333%; 26/12/2030 8,3333%; 26/01/2031 8,3333%; 26/02/2031 8,3333%",1117954_regulamento_regulamento_1117954_2026-02-19.pdf · p.142-145 · 1124808_emissao_emissao_1124808_2026-02-27.pdf
CLOUDWALK BELA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,62.393.679/0001-83,2ª série mezanino A,Mezanino,mezzanino,62393679000183|2ª série mezanino A,True,True,,396907000.0,2026-02-27,0.0135,curadoria:remuneracao,0.1399364,0.1534364,396907000.0,0.0,334924263.01,59605190.21,47266521.15,0.0,365,247,linear_de_intervalo_documentado,Texto informa apenas intervalo de amortização; cálculo usa parcelas mensais lineares nesse intervalo.,"Taxa DI + 1,35% a.a.",Remuneração mensal; amortização programada de 26/03/2030 a 26/02/2031,1117954_regulamento_regulamento_1117954_2026-02-19.pdf · p.153-156
CLOUDWALK BELA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,62.393.679/0001-83,2ª série mezanino B,Mezanino,mezzanino,62393679000183|2ª série mezanino B,True,True,,340207000.0,2026-02-27,0.042,curadoria:remuneracao,0.1399364,0.1819364,340207000.0,0.0,287078783.56,60564651.73,47489749.69,0.0,365,247,linear_de_intervalo_documentado,Texto informa apenas intervalo de amortização; cálculo usa parcelas mensais lineares nesse intervalo.,"Taxa DI + 4,20% a.a.",Remuneração mensal; amortização programada de 26/03/2030 a 26/02/2031,1117954_regulamento_regulamento_1117954_2026-02-19.pdf · p.164-166
