grupo,fundo,nome_curto,cnpj,competencia,indicador,valor,unidade,observacao,cache_folder
Mercado Livre,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,SELLER FIDC,50.473.039/0001-02,06/2025,Vencidos Over 180 d (R$ MM),0.0,R$ MM,Visão Executiva canônica; cache IME local c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Mercado Livre,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,SELLER FIDC,50.473.039/0001-02,05/2025,Vencidos Over 180 d (R$ MM),0.0,R$ MM,Visão Executiva canônica; cache IME local c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Mercado Livre,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,SELLER FIDC,50.473.039/0001-02,04/2025,Vencidos Over 180 d (R$ MM),0.0,R$ MM,Visão Executiva canônica; cache IME local c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Mercado Livre,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,SELLER FIDC,50.473.039/0001-02,03/2025,Vencidos Over 180 d (R$ MM),0.0,R$ MM,Visão Executiva canônica; cache IME local c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Mercado Livre,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,SELLER FIDC,50.473.039/0001-02,02/2025,Vencidos Over 180 d (R$ MM),0.0,R$ MM,Visão Executiva canônica; cache IME local c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Mercado Livre,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,SELLER FIDC,50.473.039/0001-02,03/2026,Vencidos Over 180 d / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Mercado Livre,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,SELLER FIDC,50.473.039/0001-02,02/2026,Vencidos Over 180 d / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Mercado Livre,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,SELLER FIDC,50.473.039/0001-02,01/2026,Vencidos Over 180 d / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Mercado Livre,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,SELLER FIDC,50.473.039/0001-02,12/2025,Vencidos Over 180 d / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Mercado Livre,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,SELLER FIDC,50.473.039/0001-02,11/2025,Vencidos Over 180 d / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Mercado Livre,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,SELLER FIDC,50.473.039/0001-02,10/2025,Vencidos Over 180 d / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Mercado Livre,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,SELLER FIDC,50.473.039/0001-02,09/2025,Vencidos Over 180 d / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Mercado Livre,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,SELLER FIDC,50.473.039/0001-02,08/2025,Vencidos Over 180 d / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Mercado Livre,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,SELLER FIDC,50.473.039/0001-02,06/2025,Vencidos Over 180 d / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Mercado Livre,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,SELLER FIDC,50.473.039/0001-02,09/2025,Vencidos Over 180 d (R$ MM),0.0,R$ MM,Visão Executiva canônica; cache IME local c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Mercado Livre,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,SELLER FIDC,50.473.039/0001-02,03/2026,Vencidos Over 360 d / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Mercado Livre,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,SELLER FIDC,50.473.039/0001-02,01/2026,Vencidos Over 360 d / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Mercado Livre,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,SELLER FIDC,50.473.039/0001-02,07/2025,PDD (R$ MM),0.0,R$ MM,Visão Executiva canônica; cache IME local c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Mercado Livre,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,SELLER FIDC,50.473.039/0001-02,06/2025,PDD (R$ MM),0.0,R$ MM,Visão Executiva canônica; cache IME local c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Mercado Livre,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,SELLER FIDC,50.473.039/0001-02,05/2025,PDD (R$ MM),0.0,R$ MM,Visão Executiva canônica; cache IME local c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Mercado Livre,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,SELLER FIDC,50.473.039/0001-02,04/2025,PDD (R$ MM),0.0,R$ MM,Visão Executiva canônica; cache IME local c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Mercado Livre,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,SELLER FIDC,50.473.039/0001-02,03/2025,PDD (R$ MM),0.0,R$ MM,Visão Executiva canônica; cache IME local c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Mercado Livre,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,SELLER FIDC,50.473.039/0001-02,02/2025,PDD (R$ MM),0.0,R$ MM,Visão Executiva canônica; cache IME local c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Mercado Livre,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,SELLER FIDC,50.473.039/0001-02,03/2026,PDD / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Mercado Livre,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,SELLER FIDC,50.473.039/0001-02,02/2026,PDD / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Mercado Livre,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,SELLER FIDC,50.473.039/0001-02,01/2026,PDD / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Mercado Livre,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,SELLER FIDC,50.473.039/0001-02,12/2025,PDD / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Mercado Livre,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,SELLER FIDC,50.473.039/0001-02,11/2025,PDD / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Mercado Livre,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,SELLER FIDC,50.473.039/0001-02,10/2025,PDD / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Mercado Livre,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,SELLER FIDC,50.473.039/0001-02,09/2025,PDD / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Mercado Livre,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,SELLER FIDC,50.473.039/0001-02,08/2025,PDD / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Mercado Livre,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,SELLER FIDC,50.473.039/0001-02,07/2025,PDD / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Mercado Livre,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,SELLER FIDC,50.473.039/0001-02,08/2025,PDD (R$ MM),0.0,R$ MM,Visão Executiva canônica; cache IME local c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Mercado Livre,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,SELLER FIDC,50.473.039/0001-02,02/2026,Vencidos Over 360 d / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Mercado Livre,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,SELLER FIDC,50.473.039/0001-02,09/2025,PDD (R$ MM),0.0,R$ MM,Visão Executiva canônica; cache IME local c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Mercado Livre,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,SELLER FIDC,50.473.039/0001-02,11/2025,PDD (R$ MM),0.0,R$ MM,Visão Executiva canônica; cache IME local c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Mercado Livre,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,SELLER FIDC,50.473.039/0001-02,12/2025,Vencidos Over 360 d / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Mercado Livre,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,SELLER FIDC,50.473.039/0001-02,11/2025,Vencidos Over 360 d / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Mercado Livre,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,SELLER FIDC,50.473.039/0001-02,10/2025,Vencidos Over 360 d / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Mercado Livre,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,SELLER FIDC,50.473.039/0001-02,09/2025,Vencidos Over 360 d / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Mercado Livre,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,SELLER FIDC,50.473.039/0001-02,08/2025,Vencidos Over 360 d / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Mercado Livre,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,SELLER FIDC,50.473.039/0001-02,07/2025,Vencidos Over 360 d / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Mercado Livre,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,SELLER FIDC,50.473.039/0001-02,06/2025,Vencidos Over 360 d / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Mercado Livre,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,SELLER FIDC,50.473.039/0001-02,05/2025,Vencidos Over 360 d / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Mercado Livre,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,SELLER FIDC,50.473.039/0001-02,04/2025,Vencidos Over 360 d / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Mercado Livre,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,SELLER FIDC,50.473.039/0001-02,03/2025,Vencidos Over 360 d / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Mercado Livre,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,SELLER FIDC,50.473.039/0001-02,02/2025,Vencidos Over 360 d / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Mercado Livre,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,SELLER FIDC,50.473.039/0001-02,03/2026,PDD (R$ MM),0.0,R$ MM,Visão Executiva canônica; cache IME local c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Mercado Livre,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,SELLER FIDC,50.473.039/0001-02,02/2026,PDD (R$ MM),0.0,R$ MM,Visão Executiva canônica; cache IME local c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Mercado Livre,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,SELLER FIDC,50.473.039/0001-02,01/2026,PDD (R$ MM),0.0,R$ MM,Visão Executiva canônica; cache IME local c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Mercado Livre,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,SELLER FIDC,50.473.039/0001-02,12/2025,PDD (R$ MM),0.0,R$ MM,Visão Executiva canônica; cache IME local c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Mercado Livre,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,SELLER FIDC,50.473.039/0001-02,10/2025,PDD (R$ MM),0.0,R$ MM,Visão Executiva canônica; cache IME local c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Mercado Livre,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,SELLER FIDC,50.473.039/0001-02,10/2025,Vencidos Over 180 d (R$ MM),0.0,R$ MM,Visão Executiva canônica; cache IME local c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Mercado Livre,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,SELLER FIDC,50.473.039/0001-02,11/2025,Vencidos Over 180 d (R$ MM),0.0,R$ MM,Visão Executiva canônica; cache IME local c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Mercado Livre,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,SELLER FIDC,50.473.039/0001-02,12/2025,Vencidos Over 180 d (R$ MM),0.0,R$ MM,Visão Executiva canônica; cache IME local c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Mercado Livre,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,SELLER FIDC,50.473.039/0001-02,10/2025,Vencidos Over 60 d (R$ MM),0.0,R$ MM,Visão Executiva canônica; cache IME local c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Mercado Livre,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,SELLER FIDC,50.473.039/0001-02,09/2025,Vencidos Over 60 d (R$ MM),0.0,R$ MM,Visão Executiva canônica; cache IME local c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Mercado Livre,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,SELLER FIDC,50.473.039/0001-02,08/2025,Vencidos Over 60 d (R$ MM),0.0,R$ MM,Visão Executiva canônica; cache IME local c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Mercado Livre,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,SELLER FIDC,50.473.039/0001-02,07/2025,Vencidos Over 60 d (R$ MM),0.0,R$ MM,Visão Executiva canônica; cache IME local c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Mercado Livre,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,SELLER FIDC,50.473.039/0001-02,06/2025,Vencidos Over 60 d (R$ MM),0.0,R$ MM,Visão Executiva canônica; cache IME local c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Mercado Livre,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,SELLER FIDC,50.473.039/0001-02,05/2025,Vencidos Over 60 d (R$ MM),0.0,R$ MM,Visão Executiva canônica; cache IME local c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Mercado Livre,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,SELLER FIDC,50.473.039/0001-02,04/2025,Vencidos Over 60 d (R$ MM),0.0,R$ MM,Visão Executiva canônica; cache IME local c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
